# Run Accuracy
0.000000000000000000e+00 1.015625000000000000e-01
1.280000000000000000e+02 1.484375000000000000e-01
2.560000000000000000e+02 1.796875000000000000e-01
3.840000000000000000e+02 3.281250000000000000e-01
5.120000000000000000e+02 2.968750000000000000e-01
6.400000000000000000e+02 3.046875000000000000e-01
7.680000000000000000e+02 3.437500000000000000e-01
8.960000000000000000e+02 3.437500000000000000e-01
1.024000000000000000e+03 3.906250000000000000e-01
1.152000000000000000e+03 3.515625000000000000e-01
1.280000000000000000e+03 3.828125000000000000e-01
1.408000000000000000e+03 4.453125000000000000e-01
1.536000000000000000e+03 4.765625000000000000e-01
1.664000000000000000e+03 5.390625000000000000e-01
1.792000000000000000e+03 5.625000000000000000e-01
1.920000000000000000e+03 5.468750000000000000e-01
2.048000000000000000e+03 5.156250000000000000e-01
2.176000000000000000e+03 5.703125000000000000e-01
2.304000000000000000e+03 5.625000000000000000e-01
2.432000000000000000e+03 5.937500000000000000e-01
2.560000000000000000e+03 6.171875000000000000e-01
2.688000000000000000e+03 5.078125000000000000e-01
2.816000000000000000e+03 5.937500000000000000e-01
2.944000000000000000e+03 5.937500000000000000e-01
3.072000000000000000e+03 5.781250000000000000e-01
3.200000000000000000e+03 6.093750000000000000e-01
3.328000000000000000e+03 6.328125000000000000e-01
3.456000000000000000e+03 6.796875000000000000e-01
3.584000000000000000e+03 6.484375000000000000e-01
3.712000000000000000e+03 6.250000000000000000e-01
3.840000000000000000e+03 7.109375000000000000e-01
3.968000000000000000e+03 6.640625000000000000e-01
4.096000000000000000e+03 7.187500000000000000e-01
4.224000000000000000e+03 7.500000000000000000e-01
4.352000000000000000e+03 7.109375000000000000e-01
4.480000000000000000e+03 7.031250000000000000e-01
4.608000000000000000e+03 7.031250000000000000e-01
4.736000000000000000e+03 6.406250000000000000e-01
4.864000000000000000e+03 6.640625000000000000e-01
4.992000000000000000e+03 7.421875000000000000e-01
5.120000000000000000e+03 7.734375000000000000e-01
5.248000000000000000e+03 7.656250000000000000e-01
5.376000000000000000e+03 6.640625000000000000e-01
5.504000000000000000e+03 7.578125000000000000e-01
5.632000000000000000e+03 8.125000000000000000e-01
5.760000000000000000e+03 7.578125000000000000e-01
5.888000000000000000e+03 7.968750000000000000e-01
6.016000000000000000e+03 7.031250000000000000e-01
6.144000000000000000e+03 7.656250000000000000e-01
6.272000000000000000e+03 7.890625000000000000e-01
6.400000000000000000e+03 7.265625000000000000e-01
6.528000000000000000e+03 7.500000000000000000e-01
6.656000000000000000e+03 7.734375000000000000e-01
6.784000000000000000e+03 7.343750000000000000e-01
6.912000000000000000e+03 7.343750000000000000e-01
7.040000000000000000e+03 8.281250000000000000e-01
7.168000000000000000e+03 7.890625000000000000e-01
7.296000000000000000e+03 8.125000000000000000e-01
7.424000000000000000e+03 8.125000000000000000e-01
7.552000000000000000e+03 7.656250000000000000e-01
7.680000000000000000e+03 8.515625000000000000e-01
7.808000000000000000e+03 7.968750000000000000e-01
7.936000000000000000e+03 7.812500000000000000e-01
8.064000000000000000e+03 8.359375000000000000e-01
8.192000000000000000e+03 7.968750000000000000e-01
8.320000000000000000e+03 8.125000000000000000e-01
8.448000000000000000e+03 7.968750000000000000e-01
8.576000000000000000e+03 8.203125000000000000e-01
8.704000000000000000e+03 8.515625000000000000e-01
8.832000000000000000e+03 7.421875000000000000e-01
8.960000000000000000e+03 7.421875000000000000e-01
9.088000000000000000e+03 7.734375000000000000e-01
9.216000000000000000e+03 7.734375000000000000e-01
9.344000000000000000e+03 8.046875000000000000e-01
9.472000000000000000e+03 8.281250000000000000e-01
9.600000000000000000e+03 8.515625000000000000e-01
9.728000000000000000e+03 7.812500000000000000e-01
9.856000000000000000e+03 8.671875000000000000e-01
9.984000000000000000e+03 7.734375000000000000e-01
1.011200000000000000e+04 7.421875000000000000e-01
1.024000000000000000e+04 8.437500000000000000e-01
1.036800000000000000e+04 8.125000000000000000e-01
1.049600000000000000e+04 8.046875000000000000e-01
1.062400000000000000e+04 8.359375000000000000e-01
1.075200000000000000e+04 8.593750000000000000e-01
1.088000000000000000e+04 8.515625000000000000e-01
1.100800000000000000e+04 8.281250000000000000e-01
1.113600000000000000e+04 8.203125000000000000e-01
1.126400000000000000e+04 8.203125000000000000e-01
1.139200000000000000e+04 8.203125000000000000e-01
1.152000000000000000e+04 9.140625000000000000e-01
1.164800000000000000e+04 8.359375000000000000e-01
1.177600000000000000e+04 8.671875000000000000e-01
1.190400000000000000e+04 8.125000000000000000e-01
1.203200000000000000e+04 8.593750000000000000e-01
1.216000000000000000e+04 8.515625000000000000e-01
1.228800000000000000e+04 8.515625000000000000e-01
1.241600000000000000e+04 8.515625000000000000e-01
1.254400000000000000e+04 8.515625000000000000e-01
1.267200000000000000e+04 8.515625000000000000e-01
1.280000000000000000e+04 8.828125000000000000e-01
1.292800000000000000e+04 8.359375000000000000e-01
1.305600000000000000e+04 7.968750000000000000e-01
1.318400000000000000e+04 8.906250000000000000e-01
1.331200000000000000e+04 8.593750000000000000e-01
1.344000000000000000e+04 8.046875000000000000e-01
1.356800000000000000e+04 8.593750000000000000e-01
1.369600000000000000e+04 8.515625000000000000e-01
1.382400000000000000e+04 8.750000000000000000e-01
1.395200000000000000e+04 8.671875000000000000e-01
1.408000000000000000e+04 8.046875000000000000e-01
1.420800000000000000e+04 8.359375000000000000e-01
1.433600000000000000e+04 8.359375000000000000e-01
1.446400000000000000e+04 8.984375000000000000e-01
1.459200000000000000e+04 8.281250000000000000e-01
1.472000000000000000e+04 8.359375000000000000e-01
1.484800000000000000e+04 8.281250000000000000e-01
1.497600000000000000e+04 8.750000000000000000e-01
1.510400000000000000e+04 8.125000000000000000e-01
1.523200000000000000e+04 9.140625000000000000e-01
1.536000000000000000e+04 8.515625000000000000e-01
1.548800000000000000e+04 8.828125000000000000e-01
1.561600000000000000e+04 8.750000000000000000e-01
1.574400000000000000e+04 8.046875000000000000e-01
1.587200000000000000e+04 8.281250000000000000e-01
1.600000000000000000e+04 8.437500000000000000e-01
1.612800000000000000e+04 7.968750000000000000e-01
1.625600000000000000e+04 8.593750000000000000e-01
1.638400000000000000e+04 8.750000000000000000e-01
1.651200000000000000e+04 8.437500000000000000e-01
1.664000000000000000e+04 8.359375000000000000e-01
1.676800000000000000e+04 8.515625000000000000e-01
1.689600000000000000e+04 8.906250000000000000e-01
1.702400000000000000e+04 9.062500000000000000e-01
1.715200000000000000e+04 9.296875000000000000e-01
1.728000000000000000e+04 8.281250000000000000e-01
1.740800000000000000e+04 8.203125000000000000e-01
1.753600000000000000e+04 9.140625000000000000e-01
1.766400000000000000e+04 8.671875000000000000e-01
1.779200000000000000e+04 8.515625000000000000e-01
1.792000000000000000e+04 9.218750000000000000e-01
1.804800000000000000e+04 8.828125000000000000e-01
1.817600000000000000e+04 8.281250000000000000e-01
1.830400000000000000e+04 8.984375000000000000e-01
1.843200000000000000e+04 8.593750000000000000e-01
1.856000000000000000e+04 8.906250000000000000e-01
1.868800000000000000e+04 8.671875000000000000e-01
1.881600000000000000e+04 8.906250000000000000e-01
1.894400000000000000e+04 9.062500000000000000e-01
1.907200000000000000e+04 8.359375000000000000e-01
1.920000000000000000e+04 9.140625000000000000e-01
1.932800000000000000e+04 8.437500000000000000e-01
1.945600000000000000e+04 8.671875000000000000e-01
1.958400000000000000e+04 9.218750000000000000e-01
1.971200000000000000e+04 8.984375000000000000e-01
1.984000000000000000e+04 8.984375000000000000e-01
1.996800000000000000e+04 8.828125000000000000e-01
2.009600000000000000e+04 7.890625000000000000e-01
2.022400000000000000e+04 8.671875000000000000e-01
2.035200000000000000e+04 9.218750000000000000e-01
2.048000000000000000e+04 8.281250000000000000e-01
2.060800000000000000e+04 8.906250000000000000e-01
2.073600000000000000e+04 8.828125000000000000e-01
2.086400000000000000e+04 8.906250000000000000e-01
2.099200000000000000e+04 8.984375000000000000e-01
2.112000000000000000e+04 8.515625000000000000e-01
2.124800000000000000e+04 8.515625000000000000e-01
2.137600000000000000e+04 9.140625000000000000e-01
2.150400000000000000e+04 9.062500000000000000e-01
2.163200000000000000e+04 8.750000000000000000e-01
2.176000000000000000e+04 8.984375000000000000e-01
2.188800000000000000e+04 9.062500000000000000e-01
2.201600000000000000e+04 8.359375000000000000e-01
2.214400000000000000e+04 8.828125000000000000e-01
2.227200000000000000e+04 8.906250000000000000e-01
2.240000000000000000e+04 9.218750000000000000e-01
2.252800000000000000e+04 8.750000000000000000e-01
2.265600000000000000e+04 8.828125000000000000e-01
2.278400000000000000e+04 8.828125000000000000e-01
2.291200000000000000e+04 9.218750000000000000e-01
2.304000000000000000e+04 9.296875000000000000e-01
2.316800000000000000e+04 8.828125000000000000e-01
2.329600000000000000e+04 9.140625000000000000e-01
2.342400000000000000e+04 8.437500000000000000e-01
2.355200000000000000e+04 9.062500000000000000e-01
2.368000000000000000e+04 9.140625000000000000e-01
2.380800000000000000e+04 8.593750000000000000e-01
2.393600000000000000e+04 9.218750000000000000e-01
2.406400000000000000e+04 9.062500000000000000e-01
2.419200000000000000e+04 9.375000000000000000e-01
2.432000000000000000e+04 9.375000000000000000e-01
2.444800000000000000e+04 8.984375000000000000e-01
2.457600000000000000e+04 8.593750000000000000e-01
2.470400000000000000e+04 9.062500000000000000e-01
2.483200000000000000e+04 9.296875000000000000e-01
2.496000000000000000e+04 8.671875000000000000e-01
2.508800000000000000e+04 9.218750000000000000e-01
2.521600000000000000e+04 8.750000000000000000e-01
2.534400000000000000e+04 9.140625000000000000e-01
2.547200000000000000e+04 8.984375000000000000e-01
2.560000000000000000e+04 9.140625000000000000e-01
2.572800000000000000e+04 9.296875000000000000e-01
2.585600000000000000e+04 8.828125000000000000e-01
2.598400000000000000e+04 8.984375000000000000e-01
2.611200000000000000e+04 9.453125000000000000e-01
2.624000000000000000e+04 8.906250000000000000e-01
2.636800000000000000e+04 8.906250000000000000e-01
2.649600000000000000e+04 9.218750000000000000e-01
2.662400000000000000e+04 9.140625000000000000e-01
2.675200000000000000e+04 8.593750000000000000e-01
2.688000000000000000e+04 8.828125000000000000e-01
2.700800000000000000e+04 8.906250000000000000e-01
2.713600000000000000e+04 8.828125000000000000e-01
2.726400000000000000e+04 8.828125000000000000e-01
2.739200000000000000e+04 9.453125000000000000e-01
2.752000000000000000e+04 9.296875000000000000e-01
2.764800000000000000e+04 9.140625000000000000e-01
2.777600000000000000e+04 8.906250000000000000e-01
2.790400000000000000e+04 8.593750000000000000e-01
2.803200000000000000e+04 8.828125000000000000e-01
2.816000000000000000e+04 8.906250000000000000e-01
2.828800000000000000e+04 8.984375000000000000e-01
2.841600000000000000e+04 9.218750000000000000e-01
2.854400000000000000e+04 9.218750000000000000e-01
2.867200000000000000e+04 8.906250000000000000e-01
2.880000000000000000e+04 9.375000000000000000e-01
2.892800000000000000e+04 8.828125000000000000e-01
2.905600000000000000e+04 9.062500000000000000e-01
2.918400000000000000e+04 8.593750000000000000e-01
2.931200000000000000e+04 8.828125000000000000e-01
2.944000000000000000e+04 8.906250000000000000e-01
2.956800000000000000e+04 9.218750000000000000e-01
2.969600000000000000e+04 8.906250000000000000e-01
2.982400000000000000e+04 8.593750000000000000e-01
2.995200000000000000e+04 9.453125000000000000e-01
3.008000000000000000e+04 9.296875000000000000e-01
3.020800000000000000e+04 9.296875000000000000e-01
3.033600000000000000e+04 9.296875000000000000e-01
3.046400000000000000e+04 8.906250000000000000e-01
3.059200000000000000e+04 8.828125000000000000e-01
3.072000000000000000e+04 9.140625000000000000e-01
3.084800000000000000e+04 9.531250000000000000e-01
3.097600000000000000e+04 9.453125000000000000e-01
3.110400000000000000e+04 9.140625000000000000e-01
3.123200000000000000e+04 8.750000000000000000e-01
3.136000000000000000e+04 9.140625000000000000e-01
3.148800000000000000e+04 9.140625000000000000e-01
3.161600000000000000e+04 9.453125000000000000e-01
3.174400000000000000e+04 9.062500000000000000e-01
3.187200000000000000e+04 9.062500000000000000e-01
3.200000000000000000e+04 8.984375000000000000e-01
3.212800000000000000e+04 9.453125000000000000e-01
3.225600000000000000e+04 8.984375000000000000e-01
3.238400000000000000e+04 9.140625000000000000e-01
3.251200000000000000e+04 8.750000000000000000e-01
3.264000000000000000e+04 9.062500000000000000e-01
3.276800000000000000e+04 9.218750000000000000e-01
3.289600000000000000e+04 9.375000000000000000e-01
3.302400000000000000e+04 9.765625000000000000e-01
3.315200000000000000e+04 9.140625000000000000e-01
3.328000000000000000e+04 9.218750000000000000e-01
3.340800000000000000e+04 8.906250000000000000e-01
3.353600000000000000e+04 8.671875000000000000e-01
3.366400000000000000e+04 9.375000000000000000e-01
3.379200000000000000e+04 9.453125000000000000e-01
3.392000000000000000e+04 9.140625000000000000e-01
3.404800000000000000e+04 8.984375000000000000e-01
3.417600000000000000e+04 9.218750000000000000e-01
3.430400000000000000e+04 9.062500000000000000e-01
3.443200000000000000e+04 9.218750000000000000e-01
3.456000000000000000e+04 9.062500000000000000e-01
3.468800000000000000e+04 9.062500000000000000e-01
3.481600000000000000e+04 8.984375000000000000e-01
3.494400000000000000e+04 8.906250000000000000e-01
3.507200000000000000e+04 9.062500000000000000e-01
3.520000000000000000e+04 9.062500000000000000e-01
3.532800000000000000e+04 8.906250000000000000e-01
3.545600000000000000e+04 9.375000000000000000e-01
3.558400000000000000e+04 9.062500000000000000e-01
3.571200000000000000e+04 8.984375000000000000e-01
3.584000000000000000e+04 9.296875000000000000e-01
3.596800000000000000e+04 9.296875000000000000e-01
3.609600000000000000e+04 8.906250000000000000e-01
3.622400000000000000e+04 8.984375000000000000e-01
3.635200000000000000e+04 8.906250000000000000e-01
3.648000000000000000e+04 9.453125000000000000e-01
3.660800000000000000e+04 9.140625000000000000e-01
3.673600000000000000e+04 9.687500000000000000e-01
3.686400000000000000e+04 9.453125000000000000e-01
3.699200000000000000e+04 9.062500000000000000e-01
3.712000000000000000e+04 9.687500000000000000e-01
3.724800000000000000e+04 8.906250000000000000e-01
3.737600000000000000e+04 9.375000000000000000e-01
3.750400000000000000e+04 9.453125000000000000e-01
3.763200000000000000e+04 9.453125000000000000e-01
3.776000000000000000e+04 9.062500000000000000e-01
3.788800000000000000e+04 8.984375000000000000e-01
3.801600000000000000e+04 9.218750000000000000e-01
3.814400000000000000e+04 9.296875000000000000e-01
3.827200000000000000e+04 9.375000000000000000e-01
3.840000000000000000e+04 9.062500000000000000e-01
3.852800000000000000e+04 9.062500000000000000e-01
3.865600000000000000e+04 9.140625000000000000e-01
3.878400000000000000e+04 9.140625000000000000e-01
3.891200000000000000e+04 9.140625000000000000e-01
3.904000000000000000e+04 8.984375000000000000e-01
3.916800000000000000e+04 8.984375000000000000e-01
3.929600000000000000e+04 9.531250000000000000e-01
3.942400000000000000e+04 9.140625000000000000e-01
3.955200000000000000e+04 9.296875000000000000e-01
3.968000000000000000e+04 9.140625000000000000e-01
3.980800000000000000e+04 9.140625000000000000e-01
3.993600000000000000e+04 9.296875000000000000e-01
4.006400000000000000e+04 9.453125000000000000e-01
4.019200000000000000e+04 9.218750000000000000e-01
4.032000000000000000e+04 9.296875000000000000e-01
4.044800000000000000e+04 8.984375000000000000e-01
4.057600000000000000e+04 9.375000000000000000e-01
4.070400000000000000e+04 9.375000000000000000e-01
4.083200000000000000e+04 9.062500000000000000e-01
4.096000000000000000e+04 8.750000000000000000e-01
4.108800000000000000e+04 9.218750000000000000e-01
4.121600000000000000e+04 9.453125000000000000e-01
4.134400000000000000e+04 9.296875000000000000e-01
4.147200000000000000e+04 9.453125000000000000e-01
4.160000000000000000e+04 9.140625000000000000e-01
4.172800000000000000e+04 9.296875000000000000e-01
4.185600000000000000e+04 9.375000000000000000e-01
4.198400000000000000e+04 9.140625000000000000e-01
4.211200000000000000e+04 9.609375000000000000e-01
4.224000000000000000e+04 9.609375000000000000e-01
4.236800000000000000e+04 9.375000000000000000e-01
4.249600000000000000e+04 9.687500000000000000e-01
4.262400000000000000e+04 9.140625000000000000e-01
4.275200000000000000e+04 9.453125000000000000e-01
4.288000000000000000e+04 9.687500000000000000e-01
4.300800000000000000e+04 9.140625000000000000e-01
4.313600000000000000e+04 9.375000000000000000e-01
4.326400000000000000e+04 9.140625000000000000e-01
4.339200000000000000e+04 9.453125000000000000e-01
4.352000000000000000e+04 9.453125000000000000e-01
4.364800000000000000e+04 9.375000000000000000e-01
4.377600000000000000e+04 9.453125000000000000e-01
4.390400000000000000e+04 9.062500000000000000e-01
4.403200000000000000e+04 9.296875000000000000e-01
4.416000000000000000e+04 9.453125000000000000e-01
4.428800000000000000e+04 9.218750000000000000e-01
4.441600000000000000e+04 9.296875000000000000e-01
4.454400000000000000e+04 9.140625000000000000e-01
4.467200000000000000e+04 9.531250000000000000e-01
4.480000000000000000e+04 9.609375000000000000e-01
4.492800000000000000e+04 9.531250000000000000e-01
4.505600000000000000e+04 9.453125000000000000e-01
4.518400000000000000e+04 9.375000000000000000e-01
4.531200000000000000e+04 9.375000000000000000e-01
4.544000000000000000e+04 9.453125000000000000e-01
4.556800000000000000e+04 9.375000000000000000e-01
4.569600000000000000e+04 9.296875000000000000e-01
4.582400000000000000e+04 9.687500000000000000e-01
4.595200000000000000e+04 9.296875000000000000e-01
4.608000000000000000e+04 9.218750000000000000e-01
4.620800000000000000e+04 9.609375000000000000e-01
4.633600000000000000e+04 9.453125000000000000e-01
4.646400000000000000e+04 9.218750000000000000e-01
4.659200000000000000e+04 9.609375000000000000e-01
4.672000000000000000e+04 8.984375000000000000e-01
4.684800000000000000e+04 9.375000000000000000e-01
